abnormal adipose tissue morphology|adipose tissue phenotype
mydriasis|abnormal pupil morphology
abnormal blood coagulation|abnormal hemostasis
preference for addictive substance|abnormal behavioral response to xenobiotic
aversion to addictive substance|abnormal behavioral response to xenobiotic
addiction|preference for addictive substance
abnormal cocaine consumption|abnormal behavioral response to xenobiotic
abnormal social/conspecific interaction|abnormal behavior
abnormal circadian period|abnormal circadian rhythm
abnormal circadian persistence|abnormal circadian rhythm
arrhythmic circadian persistence|abnormal circadian persistence
abnormal circadian phase|abnormal circadian rhythm
prolonged circadian period|abnormal circadian period
shortened circadian period|abnormal circadian period
advanced circadian phase|abnormal circadian phase
delayed circadian phase|abnormal circadian phase
abnormal sexual interaction|abnormal social/conspecific interaction
alcohol aversion|abnormal alcohol consumption
alcohol aversion|abnormal liquid preference
alcohol aversion|aversion to addictive substance
senility|abnormal learning/memory/conditioning
abnormal emotion/affect behavior|abnormal behavior
behavioral despair|abnormal depression-related behavior
increased vertical activity|abnormal vertical activity
increased circulating ketone body level|abnormal circulating ketone body level
abnormal enamel morphology|abnormal tooth hard tissue morphology
reduced enamel thickness|abnormal enamel morphology
impaired ability to fire action potentials|abnormal action potential
disorganized secondary lens fibers|abnormal lens fiber morphology
duodenal lesions|abnormal duodenum morphology
abnormal ileum morphology|abnormal small intestine morphology
disorganized extraembryonic tissue|abnormal extraembryonic tissue morphology
absent extraembryonic ectoderm|abnormal extraembryonic ectoderm morphology
small ectoplacental cone|abnormal ectoplacental cone morphology
abnormal platelet volume|abnormal platelet morphology
increased mean corpuscular volume|abnormal mean corpuscular volume
decreased mean corpuscular volume|abnormal mean corpuscular volume
high mean erythrocyte cell number|increased erythrocyte cell number
low mean erythrocyte cell number|decreased erythrocyte cell number
abnormal hematocrit|abnormal erythrocyte morphology
increased mean platelet volume|abnormal platelet volume
abnormal eosinophil cell number|abnormal eosinophil morphology
abnormal eosinophil cell number|abnormal granulocyte number
increased basophil cell number|increased granulocyte number
increased basophil cell number|abnormal basophil cell number
decreased basophil cell number|decreased granulocyte number
decreased basophil cell number|abnormal basophil cell number
increased hematocrit|abnormal hematocrit
abnormal lymphocyte morphology|abnormal mononuclear cell morphology
abnormal monocyte morphology|abnormal mononuclear phagocyte morphology
delayed neural tube closure|abnormal neural tube closure
abnormal cochlear hair cell morphology|abnormal organ of corti morphology
abnormal cochlear hair cell morphology|abnormal hair cell morphology
abnormal cochlear hair cell morphology|abnormal cochlear sensory epithelium morphology
abnormal vestibular hair cell morphology|abnormal hair cell morphology
abnormal vestibular hair cell morphology|abnormal inner ear vestibule morphology
abnormal tricuspid valve morphology|abnormal atrioventricular valve morphology
heart left ventricle hypertrophy|cardiac hypertrophy
heart left ventricle hypertrophy|increased heart left ventricle size
increased heart rate|abnormal heart rate
increased teratoma incidence|increased classified tumor incidence
hepatic steatosis|abnormal liver morphology
hyperactivity elicited by ethanol administration|enhanced behavioral response to alcohol
hyperactivity elicited by ethanol administration|induced hyperactivity
abnormal endocochlear potential|abnormal hearing electrophysiology
abnormal endocochlear potential|abnormal cochlear endolymph
abnormal epididymis morphology|abnormal internal male genitalia morphology
vestigial tail|abnormal tail morphology
persistent truncus arteriosis|abnormal truncus arteriosus septation
persistent truncus arteriosis|abnormal heart and great artery attachment
persistent truncus arteriosis|aorticopulmonary septal defect
abnormal sensorimotor gating|abnormal nervous system physiology
reduced sensorimotor gating|abnormal sensorimotor gating
delayed vaginal opening|abnormal timing of vaginal opening
small uterus|abnormal uterus size
abnormal pupillary reflex|abnormal reflex
abnormal pupillary reflex|abnormal eye physiology
micrognathia|abnormal jaw morphology
reticulocytosis|increased myeloid cell number
reticulocytosis|abnormal reticulocyte cell number
anisopoikilocytosis|abnormal erythrocyte morphology
anisocytosis|increased red blood cell distribution width
poikilocytosis|abnormal erythrocyte morphology
decreased circulating triglyceride level|decreased triglyceride level
decreased circulating triglyceride level|abnormal circulating triglyceride level
abnormal intestinal cholesterol absorption|abnormal intestinal lipid absorption
increased intestinal cholesterol absorption|abnormal intestinal cholesterol absorption
decreased intestinal cholesterol absorption|abnormal intestinal cholesterol absorption
delaminated enamel|abnormal enamel morphology
abnormal enamel rod pattern|abnormal enamel morphology
abnormal ameloblast morphology|abnormal tooth development
abnormal sciatic nerve morphology|abnormal spinal nerve morphology
thin myocardium|abnormal myocardium layer morphology
abnormal ependyma morphology|abnormal nervous system morphology
spongiform encephalopathy|neurodegeneration
abnormal keratinocyte morphology|abnormal epidermal layer morphology
abnormal keratinocyte differentiation|abnormal keratinocyte morphology
abnormal keratinocyte differentiation|abnormal cell differentiation
chondrodystrophy|abnormal skeleton development
abnormal liver regeneration|abnormal liver physiology
pituitary gland hypoplasia|small pituitary gland
abnormal caput epididymis morphology|abnormal epididymis morphology
abnormal corpus epididymis morphology|abnormal epididymis morphology
abnormal cauda epididymis morphology|abnormal epididymis morphology
failure to form blastocele|abnormal blastocoele morphology
failure to form blastocele|failure of blastocyst formation
decreased circulating adrenocorticotropin level|decreased circulating pituitary hormone level
decreased circulating adrenocorticotropin level|decreased adrenocorticotropin level
decreased circulating corticosterone level|decreased circulating glucocorticoid level
decreased circulating corticosterone level|abnormal circulating corticosterone level
increased circulating aldosterone level|increased circulating mineralocorticoid level
increased circulating aldosterone level|abnormal circulating aldosterone level
decreased circulating aldosterone level|abnormal circulating aldosterone level
decreased circulating aldosterone level|decreased circulating mineralocorticoid level
abnormal circulating potassium level|abnormal circulating mineral level
abnormal circulating potassium level|abnormal potassium ion homeostasis
abnormal scrotum morphology|abnormal external male genitalia morphology
absent scrotum|abnormal scrotum morphology
belted|abnormal coat/hair pigmentation
abnormal pharyngeal arch artery morphology|abnormal artery development
abnormal pharyngeal arch artery morphology|abnormal pharyngeal arch morphology
abnormal sperm number|abnormal gametogenesis
abnormal sperm motility|abnormal sperm physiology
asthenozoospermia|abnormal sperm motility
uterus hyperplasia|enlarged uterus
increased follicle recruitment|abnormal ovarian folliculogenesis
abnormal corpus luteum morphology|abnormal ovary morphology
decreased corpora lutea number|abnormal corpus luteum morphology
increased corpora lutea number|abnormal corpus luteum morphology
decreased mature ovarian follicle number|abnormal mature ovarian follicle morphology
decreased mature ovarian follicle number|abnormal ovarian follicle number
delayed fertility|abnormal sexual maturation
delayed fertility|abnormal fertility/fecundity
abnormal spermatogonia proliferation|abnormal cell proliferation
abnormal spermatogonia proliferation|abnormal spermatogenesis
globozoospermia|abnormal acrosome morphology
oligozoospermia|abnormal gametes
oligozoospermia|decreased male germ cell number
oligozoospermia|abnormal spermatogenesis
oligozoospermia|abnormal sperm number
abnormal molar morphology|abnormal tooth morphology
akinesia|abnormal locomotor activation
small stomach|abnormal stomach morphology
abnormal pancreas physiology|abnormal gland physiology
abnormal pancreas secretion|abnormal pancreas physiology
abnormal circulating glucagon level|abnormal circulating hormone level
abnormal circulating glucagon level|abnormal glucose homeostasis
decreased circulating glucagon level|abnormal circulating glucagon level
abnormal eye size|abnormal eye morphology
abnormal sclera morphology|abnormal eye morphology
abnormal vitreous body morphology|abnormal posterior eye segment morphology
opacity of vitreous body|abnormal vitreous body morphology
